Position,Title,Title Type,Runtime,Year,Genres,Directors
119,Drácula,movie,104,1931,"Drama, Fantasy, Horror",George Melford
120,The Dragon Painter,movie,53,1919,"Drama, Romance",William Worthington
121,Duck Soup,movie,69,1933,"Comedy, Musical",Leo McCarey
122,East of Eden,movie,118,1955,Drama,Elia Kazan
123,Easy Rider,movie,95,1969,"Adventure, Drama",Dennis Hopper
124,El mariachi,movie,81,1992,"Action, Crime, Thriller",Robert Rodriguez
125,El Norte,movie,141,1983,"Adventure, Drama",Gregory Nava
126,Ella Cinders,movie,75,1926,"Comedy, Music, Romance",Alfred E. Green
127,The Emperor Jones,movie,72,1933,"Drama, Music","William C. de Mille, Dudley Murphy"
128,The Empire Strikes Back,movie,124,1980,"Action, Adventure, Fantasy, Sci-Fi",Irvin Kershner
129,Enter the Dragon,movie,102,1973,"Action, Crime, Drama, Thriller",Robert Clouse
130,Eraserhead,movie,89,1977,"Fantasy, Horror",David Lynch
131,E.T. the Extra-Terrestrial,movie,115,1982,"Adventure, Family, Sci-Fi",Steven Spielberg
132,The Exiles,movie,72,1961,Drama,Kent Mackenzie
133,The Exorcist,movie,122,1973,Horror,William Friedkin
134,A Face in the Crowd,movie,126,1957,"Drama, Music",Elia Kazan
135,Faces,movie,130,1968,Drama,John Cassavetes
136,Fargo,movie,98,1996,"Crime, Thriller","Ethan Coen, Joel Coen"
137,Fast Times at Ridgemont High,movie,90,1982,"Comedy, Drama",Amy Heckerling
138,Ferris Bueller's Day Off,movie,103,1986,Comedy,John Hughes
139,Five Easy Pieces,movie,98,1970,Drama,Bob Rafelson
140,Flesh and the Devil,movie,112,1926,"Drama, Music",Clarence Brown
141,Flower Drum Song,movie,133,1961,"Comedy, Musical, Romance",Henry Koster
142,A Fool There Was,movie,67,1915,Drama,Frank Powell
143,Foolish Wives,movie,117,1922,"Drama, Thriller",Erich von Stroheim
144,Footlight Parade,movie,104,1933,"Comedy, Musical, Romance",Lloyd Bacon
145,Forbidden Planet,movie,98,1956,"Adventure, Sci-Fi",Fred M. Wilcox
146,Force of Evil,movie,79,1948,"Crime, Drama, Film-Noir",Abraham Polonsky
147,Forrest Gump,movie,142,1994,"Drama, Romance",Robert Zemeckis
148,The Four Horsemen of the Apocalypse,movie,150,1921,"Drama, Romance, War",Rex Ingram
149,Frankenstein,movie,70,1931,"Drama, Horror, Sci-Fi, Thriller",James Whale
150,Freaks,movie,64,1932,"Drama, Horror",Tod Browning
151,The French Connection,movie,104,1971,"Action, Crime, Drama, Thriller",William Friedkin
